Sample	Year	location	Species	Residency status
SRR5886139	2016	Bermuda	Gallus gallus	Resident birds
SRR5886137	2016	Bermuda	Gallus gallus	Resident birds
SRR5886138	2016	Bermuda	Gallus gallus	Resident birds
SRR10874871	2018-2019	China  Jilin	Emberiza elegans	migratory birds
SRR10874015	2018-2019	China  Jilin	Emberiza spodocephala	migratory birds
SRR10873993	2018-2019	China  Jilin	Emberiza spodocephala	migratory birds
SRR10873763	2018-2019	China  Jilin	Cecropis daurica	migratory birds
SRR10874069	2018-2019	China  Jilin	Lanius cristatus	migratory birds
SRR10874909	2018-2019	China  Jilin	Tarsiger cyanurus	migratory birds
SRR10873473	2018-2019	China  Jilin	Tarsiger cyanurus	migratory birds
SRR10873733	2018-2019	China  Jilin	Tarsiger cyanurus	migratory birds
SRR10873757	2018-2019	China  Jilin	Tarsiger cyanurus	migratory birds
SRR10873771	2018-2019	China  Jilin	Ficedula parva	migratory birds
SRR10873875	2018-2019	China  Jilin	Aegithalos caudatus	Resident birds
SRR10874287	2018-2019	China  Jilin	Periparus ater	Resident birds
SRR10874288	2018-2019	China  Jilin	Periparus ater	Resident birds
SRR10874289	2018-2019	China  Jilin	Periparus ater	Resident birds
SRR10873470	2018-2019	China  Jilin	Periparus ater	Resident birds
SRR10873731	2018-2019	China  Jilin	Periparus ater	Resident birds
SRR10873928	2018-2019	China  Jilin	Carpodacus sibiricus	Resident birds
SRR10874866	2018-2019	China  Jilin	Phylloscopus inornatus	migratory birds
SRR10874863	2018-2019	China  Jilin	Phylloscopus inornatus	migratory birds
SRR10874870	2018-2019	China  Jilin	Acrocephalus bistrigiceps	migratory birds
SRR10873476	2018-2019	China  Jilin	Phylloscopus fuscatus	migratory birds
SRR22099858	2021	China  Anhui	Anser erythropus	migratory birds
SRR10874855	2018-2019	China  Heilongjiang	Phylloscopus inornatus	migratory birds
SRR10874852	2018-2019	China  Heilongjiang	Phylloscopus inornatus	migratory birds
SRR10873992	2018-2019	China  Heilongjiang	Phylloscopus schwarzi	migratory birds
SRR10873474	2018-2019	China  Heilongjiang	Phylloscopus schwarzi	migratory birds
SRR10874819	2018-2019	China  Heilongjiang	Phylloscopus inornatus	migratory birds
SRR10881939	2018-2019	China  Heilongjiang	Phylloscopus inornatus	migratory birds
SRR10873776	2018-2019	China  Heilongjiang	Phylloscopus proregulus	migratory birds
SRR10873766	2018-2019	China  Heilongjiang	Phylloscopus proregulus	migratory birds
SRR10873760	2018-2019	China  Heilongjiang	Phylloscopus proregulus	migratory birds
SRR10873745	2018-2019	China  Heilongjiang	Phylloscopus fuscatus	migratory birds
SRR10873752	2018-2019	China  Heilongjiang	Phylloscopus fuscatus	migratory birds
SRR10873829	2018-2019	China  Heilongjiang	Phoenicurus auroreus	migratory birds
SRR10874827	2018-2019	China  Heilongjiang	Turdus pallidus	migratory birds
SRR10874825	2018-2019	China  Heilongjiang	Turdus pallidus	migratory birds
SRR10875071	2018-2019	China  Heilongjiang	Turdus pallidus	migratory birds
SRR10875068	2018-2019	China  Heilongjiang	Turdus naumanni	migratory birds
SRR10874916	2018-2019	China  Heilongjiang	Turdus naumanni	migratory birds
SRR10874878	2018-2019	China  Heilongjiang	Turdus hortulorum	migratory birds
SRR10875093	2018-2019	China  Heilongjiang	Luscinia calliope	migratory birds
SRR10875095	2018-2019	China  Heilongjiang	Luscinia cyane	migratory birds
SRR10874851	2018-2019	China  Heilongjiang	Luscinia sibilans	migratory birds
SRR10874854	2018-2019	China  Heilongjiang	Luscinia sibilans	migratory birds
SRR10874868	2018-2019	China  Heilongjiang	Luscinia sibilans	migratory birds
SRR10874872	2018-2019	China  Heilongjiang	Phoenicurus auroreus	migratory birds
SRR10873759	2018-2019	China  Heilongjiang	Turdus naumanni	migratory birds
SRR10873770	2018-2019	China  Heilongjiang	Turdus naumanni	migratory birds
SRR10874917	2018-2019	China  Heilongjiang	Luscinia calliope	migratory birds
SRR10874896	2018-2019	China  Heilongjiang	Luscinia calliope	migratory birds
SRR10875082	2018-2019	China  Heilongjiang	Luscinia calliope	migratory birds
SRR10874050	2018-2019	China  Heilongjiang	Jynx torquilla	migratory birds
SRR10873876	2018-2019	China  Heilongjiang	Zosterops erythropleurus	migratory birds
SRR10873765	2018-2019	China  Heilongjiang	Zosterops erythropleurus	migratory birds
SRR9850918	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850919	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850920	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850921	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850939	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850974	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850976	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850977	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850978	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850979	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850980	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850981	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850982	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850983	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850984	2016	China  Henan	Cygnus cygnus	migratory birds
SRR9850932	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850933	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850934	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850935	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850936	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850937	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850938	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850940	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850941	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850943	2016	China  InnerMogonia	Tadorna tadorna	migratory birds
SRR9850922	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850923	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850924	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850925	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850928	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850945	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850946	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850947	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850951	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850952	2016	China  Jiangsu	Unknown wild birds	Unknown
