sample	group
SRR5886139	Bermuda
SRR5886137	Bermuda
SRR5886138	Bermuda
SRR9850918	China
SRR9850919	China
SRR9850920	China
SRR9850921	China
SRR9850939	China
SRR9850974	China
SRR9850976	China
SRR9850977	China
SRR9850978	China
SRR9850979	China
SRR9850980	China
SRR9850981	China
SRR9850982	China
SRR9850983	China
SRR9850984	China
SRR9850932	China
SRR9850933	China
SRR9850934	China
SRR9850935	China
SRR9850936	China
SRR9850937	China
SRR9850938	China
SRR9850940	China
SRR9850941	China
SRR9850943	China
SRR9850922	China
SRR9850923	China
SRR9850924	China
SRR9850925	China
SRR9850928	China
SRR9850945	China
SRR9850946	China
SRR9850947	China
SRR9850951	China
SRR9850952	China
SRR9850953	China
SRR9850954	China
SRR9850967	China
SRR9850968	China
SRR9850969	China
SRR9850970	China
SRR9850971	China
SRR9850972	China
SRR9850973	China
SRR9850975	China
SRR9850988	China
SRR9850989	China
SRR9850990	China
SRR9850991	China
SRR9850992	China
SRR9850993	China
SRR9850955	China
SRR9850956	China
SRR9850957	China
SRR9850958	China
SRR9850959	China
SRR9850960	China
SRR9850961	China
SRR9850962	China
SRR9850963	China
SRR9850964	China
SRR9850965	China
SRR9850966	China
SRR9850985	China
SRR9850986	China
SRR9850987	China
SRR9850912	China
SRR9850913	China
SRR9850914	China
SRR9850915	China
SRR9850916	China
SRR9850917	China
SRR9850926	China
SRR9850927	China
SRR9850929	China
SRR9850930	China
SRR9850931	China
SRR9850903	China
SRR9850904	China
SRR9850905	China
SRR9850906	China
SRR9850907	China
SRR9850908	China
SRR9850909	China
SRR9850910	China
SRR9850911	China
SRR9850948	China
SRR9850949	China
SRR9850950	China
SRR9850902	China
SRR9850942	China
SRR9850944	China
SRR9850994	China
SRR9850995	China
SRR9850996	China
SRR9850997	China
SRR9850998	China
SRR9850999	China
SRR9851000	China
SRR9851001	China
SRR9851002	China
SRR9851003	China
SRR9851004	China
SRR10083277	China
SRR10083279	China
SRR10083280	China
SRR10083281	China
SRR10083282	China
SRR10083283	China
SRR10083284	China
SRR10083285	China
SRR10083286	China
SRR10083323	China
SRR10083324	China
SRR10083311	China
SRR10083310	China
SRR10083309	China
SRR10083308	China
SRR10083307	China
SRR10083305	China
SRR10083304	China
SRR10083303	China
SRR10083302	China
SRR10083301	China
SRR10083300	China
SRR21898906	China
SRR21898907	China
SRR21898908	China
SRR21898909	China
SRR21898910	China
SRR21898911	China
SRR21898912	China
SRR21898913	China
SRR21898914	China
SRR21898915	China
SRR21898916	China
SRR21898917	China
SRR21898918	China
SRR21898919	China
SRR21898920	China
SRR21898921	China
SRR21898922	China
SRR21898923	China
SRR21898924	China
SRR21898925	China
SRR21898926	China
SRR21898927	China
SRR21898928	China
SRR21898929	China
SRR21898930	China
SRR21898931	China
SRR21898932	China
SRR21898933	China
SRR10874390	China
SRR10874028	China
SRR10873738	China
SRR10873751	China
SRR10873756	China
SRR10873764	China
SRR10873767	China
SRR10873769	China
SRR10873811	China
SRR10873863	China
SRR10873888	China
SRR10873911	China
SRR10873913	China
SRR10873924	China
SRR10882830	China
SRR10882828	China
SRR10882820	China
SRR10882650	China
SRR10882647	China
SRR10882646	China
SRR10882641	China
SRR10882604	China
SRR10875352	China
SRR10874919	China
SRR10874838	China
SRR10874832	China
SRR10874828	China
SRR10874395	China
SRR10874396	China
SRR10873775	China
SRR10873881	China
SRR10873887	China
SRR10873895	China
SRR10873920	China
SRR10873444	China
SRR10874053	China
SRR10874871	China
SRR10874015	China
SRR10873993	China
SRR10875204	China
SRR10875205	China
SRR10874850	China
SRR10875337	China
SRR10873907	China
SRR10874021	China
SRR10874019	China
SRR10874841	China
SRR10874869	China
SRR10874837	China
SRR10875096	China
SRR10875097	China
SRR10874831	China
SRR10874836	China
SRR10874840	China
SRR10874849	China
SRR10874024	China
SRR10874026	China
SRR10873997	China
SRR10873975	China
SRR10873964	China
SRR10873956	China
SRR10873952	China
SRR10882847	China
SRR10874397	China
SRR10874853	China
SRR10874813	China
SRR10874842	China
SRR10874862	China
SRR10874895	China
SRR10873763	China
SRR10874069	China
SRR10873950	China
SRR10875473	China
SRR10875768	China
SRR10875353	China
SRR10874909	China
SRR10873473	China
SRR10873733	China
SRR10873757	China
SRR10873771	China
SRR10874867	China
SRR10873732	China
SRR10874380	China
SRR10874864	China
SRR10874865	China
SRR10874918	China
SRR10875070	China
SRR10873447	China
SRR10873446	China
SRR10874717	China
SRR10874791	China
SRR10873923	China
SRR10874399	China
SRR10873878	China
SRR10873875	China
SRR10874287	China
SRR10874288	China
SRR10874289	China
SRR10873470	China
SRR10873731	China
SRR10875136	China
SRR10875305	China
SRR10875094	China
SRR10875080	China
SRR10873904	China
SRR10873916	China
SRR10874070	China
SRR10874058	China
SRR10874059	China
SRR10873928	China
SRR10874718	China
SRR10873475	China
SRR10873810	China
SRR10873780	China
SRR10873974	China
SRR10873977	China
SRR10873981	China
SRR10873995	China
SRR10873998	China
SRR10873761	China
SRR10874030	China
SRR10875081	China
SRR10874810	China
SRR10874815	China
SRR10874818	China
SRR10874829	China
SRR10874833	China
SRR10874830	China
SRR10873966	China
SRR10873954	China
SRR10873736	China
SRR10873729	China
SRR10874866	China
SRR10874863	China
SRR10874870	China
SRR10873476	China
SRR10874855	China
SRR10874852	China
SRR10873992	China
SRR10873474	China
SRR10874819	China
SRR10881939	China
SRR10873776	China
SRR10873766	China
SRR10873760	China
SRR10873745	China
SRR10873752	China
SRR10873829	China
SRR10874827	China
SRR10874825	China
SRR10875071	China
SRR10875068	China
SRR10874916	China
SRR10874878	China
SRR10875093	China
SRR10875095	China
SRR10874851	China
SRR10874854	China
SRR10874868	China
SRR10874872	China
SRR10873759	China
SRR10873770	China
SRR10874917	China
SRR10874896	China
SRR10875082	China
SRR10874050	China
SRR10873876	China
SRR10873765	China
SRR25662272	China
SRR10492800	China
SRR10492799	China
SRR10492798	China
SRR10492797	China
SRR3327572	China
SRR3327573	China
CRR914878	China
CRR914879	China
CRR914880	China
CRR914881	China
CRR914882	China
CRR914883	China
CRR914884	China
CRR914885	China
SRR27471755	China
CRR355451	China
CRR355452	China
CRR355453	China
CRR028392	China
CRR028393	China
CRR028394	China
CRR028395	China
CRR028396	China
CRR028397	China
AH02	China
AH03	China
AH04	China
AH05	China
AH07	China
AH09	China
AH10	China
AH11	China
AH12	China
AH13	China
QH01	China
QH02	China
QH03	China
QH04	China
QH05	China
QH06	China
QH07	China
QH08	China
QH10	China
QH13	China
QH14	China
QH15	China
QH16	China
QH17	China
QH20	China
SD01	China
SD02	China
SD03	China
SD04	China
SD05	China
SD06	China
SD07	China
SD08	China
SD09	China
SD10	China
SD13	China
SD14	China
SD15	China
SD16	China
XZ01	China
XZ02	China
XZ04	China
XZ05	China
XZ06	China
XZ07	China
XZ08	China
XZ09	China
XZ10	China
XZ11	China
XZ12	China
SRR22099858	China
SRR3327411	China
SRR3327343	China
CRR1273915	China
CRR1273916	China
CRR1273917	China
CRR1273918	China
CRR1273919	China
CRR1273920	China
CRR1274818	China
CRR1274819	China
CRR1274820	China
CRR1274821	China
CRR1274822	China
CRR1274823	China
CRR1274824	China
CRR1274825	China
CRR1274826	China
CRR1274827	China
CRR1274828	China
CRR1274829	China
CRR1287467	China
CRR1287468	China
CRR1287469	China
CRR1287470	China
CRR1287471	China
CRR1287472	China
CRR1287473	China
CRR1287474	China
CRR1287475	China
CRR1287476	China
CRR1287477	China
CRR1293703	China
CRR1293704	China
CRR1293705	China
CRR1293706	China
CRR1293707	China
