sample	group
SRR9850918	EAAF
SRR9850919	EAAF
SRR9850920	EAAF
SRR9850921	EAAF
SRR9850939	EAAF
SRR9850974	EAAF
SRR9850976	EAAF
SRR9850977	EAAF
SRR9850978	EAAF
SRR9850979	EAAF
SRR9850980	EAAF
SRR9850981	EAAF
SRR9850982	EAAF
SRR9850983	EAAF
SRR9850984	EAAF
SRR9850932	EAAF
SRR9850933	EAAF
SRR9850934	EAAF
SRR9850935	EAAF
SRR9850936	EAAF
SRR9850937	EAAF
SRR9850938	EAAF
SRR9850940	EAAF
SRR9850941	EAAF
SRR9850943	EAAF
SRR9850967	EAAF
SRR9850968	EAAF
SRR9850969	EAAF
SRR9850970	EAAF
SRR9850971	EAAF
SRR9850972	EAAF
SRR9850973	EAAF
SRR9850975	EAAF
SRR9850988	EAAF
SRR9850989	EAAF
SRR9850990	EAAF
SRR9850991	EAAF
SRR9850992	EAAF
SRR9850993	EAAF
SRR9850912	EAAF
SRR9850913	EAAF
SRR9850914	EAAF
SRR9850915	EAAF
SRR9850916	EAAF
SRR9850917	EAAF
SRR9850926	EAAF
SRR9850927	EAAF
SRR9850929	EAAF
SRR9850930	EAAF
SRR9850931	EAAF
SRR9850903	CAIF
SRR9850904	CAIF
SRR9850905	CAIF
SRR9850906	CAIF
SRR9850907	CAIF
SRR9850908	CAIF
SRR9850909	CAIF
SRR9850910	CAIF
SRR9850911	CAIF
SRR9850948	CAIF
SRR9850949	CAIF
SRR9850950	CAIF
SRR9850902	CAIF
SRR21898906	EAAF
SRR21898907	EAAF
SRR21898908	EAAF
SRR21898909	EAAF
SRR21898910	EAAF
SRR21898911	EAAF
SRR21898912	EAAF
SRR21898920	EAAF
SRR21898921	EAAF
SRR21898922	EAAF
SRR21898923	EAAF
SRR21898924	EAAF
SRR21898925	EAAF
SRR21898926	EAAF
SRR21898927	EAAF
SRR21898928	EAAF
SRR21898929	EAAF
SRR21898930	EAAF
SRR21898931	EAAF
SRR21898932	EAAF
SRR21898933	EAAF
SRR10873738	CAIF
SRR10873751	CAIF
SRR10873756	CAIF
SRR10873764	CAIF
SRR10873767	CAIF
SRR10873769	CAIF
SRR10873811	EAAF
SRR10873863	EAAF
SRR10873888	EAAF
SRR10873911	EAAF
SRR10873913	EAAF
SRR10873924	EAAF
SRR10882830	EAAF
SRR10882828	EAAF
SRR10882820	EAAF
SRR10882650	EAAF
SRR10882647	EAAF
SRR10882646	EAAF
SRR10882641	EAAF
SRR10882604	EAAF
SRR10875352	EAAF
SRR10874919	EAAF
SRR10874838	EAAF
SRR10874832	EAAF
SRR10874828	EAAF
SRR10874395	EAAF
SRR10874396	EAAF
SRR10873775	EAAF
SRR10873881	EAAF
SRR10873887	EAAF
SRR10873895	EAAF
SRR10873920	EAAF
SRR10874871	EAAF
SRR10874015	EAAF
SRR10873993	EAAF
SRR10875204	EAAF
SRR10875205	EAAF
SRR10874850	EAAF
SRR10875337	EAAF
SRR10873907	EAAF
SRR10874021	EAAF
SRR10874019	EAAF
SRR10874841	EAAF
SRR10874869	EAAF
SRR10874837	EAAF
SRR10875096	EAAF
SRR10875097	EAAF
SRR10874831	EAAF
SRR10874836	EAAF
SRR10874840	EAAF
SRR10874849	EAAF
SRR10874024	EAAF
SRR10874026	EAAF
SRR10873997	EAAF
SRR10873975	EAAF
SRR10873964	EAAF
SRR10873956	EAAF
SRR10873952	EAAF
SRR10882847	EAAF
SRR10874862	EAAF
SRR10874895	EAAF
SRR10873763	EAAF
SRR10874069	EAAF
SRR10873950	EAAF
SRR10875473	EAAF
SRR10875768	EAAF
SRR10875353	EAAF
SRR10874909	EAAF
SRR10873473	EAAF
SRR10873733	EAAF
SRR10873757	EAAF
SRR10873771	CAIF
SRR10874867	EAAF
SRR10873732	EAAF
SRR10874380	EAAF
SRR10874864	EAAF
SRR10874865	EAAF
SRR10874918	EAAF
SRR10875070	EAAF
SRR10873447	EAAF
SRR10873446	EAAF
SRR10874717	EAAF
SRR10874791	EAAF
SRR10873923	CAIF
SRR10874399	EAAF
SRR10873928	EAAF
SRR10873475	EAAF
SRR10873810	EAAF
SRR10873780	EAAF
SRR10873974	EAAF
SRR10873977	EAAF
SRR10873981	EAAF
SRR10873995	EAAF
SRR10873998	EAAF
SRR10873761	EAAF
SRR10874030	EAAF
SRR10874866	EAAF
SRR10874863	EAAF
SRR10874870	EAAF
SRR10873476	EAAF
SRR10874855	EAAF
SRR10874852	EAAF
SRR10873992	EAAF
SRR10873474	EAAF
SRR10874819	EAAF
SRR10881939	EAAF
SRR10873776	EAAF
SRR10873766	EAAF
SRR10873760	EAAF
SRR10873745	EAAF
SRR10873752	EAAF
SRR10873829	EAAF
SRR10874827	EAAF
SRR10874825	EAAF
SRR10875071	EAAF
SRR10875068	EAAF
SRR10874916	EAAF
SRR10874878	EAAF
SRR10875093	EAAF
SRR10875095	EAAF
SRR10874851	EAAF
SRR10874854	EAAF
SRR10874868	EAAF
SRR10874872	EAAF
SRR10873759	EAAF
SRR10873770	EAAF
SRR10874917	EAAF
SRR10874896	EAAF
SRR10875082	EAAF
SRR25662272	EAAF
SRR10492800	CAIF
SRR10492799	CAIF
SRR10492798	CAIF
SRR10492797	CAIF
SRR3327572	CAIF
SRR3327573	CAIF
SRR27471755	EAAF
CRR355451	EAAF
CRR355452	EAAF
CRR355453	EAAF
CRR028392	CAIF
CRR028393	CAIF
CRR028394	CAIF
CRR028395	CAIF
CRR028396	CAIF
CRR028397	CAIF
AH02	EAAF
AH03	EAAF
AH04	EAAF
AH05	EAAF
AH07	EAAF
AH09	EAAF
AH10	EAAF
AH11	EAAF
AH12	EAAF
AH13	EAAF
QH01	CAIF
QH02	CAIF
QH03	CAIF
QH04	CAIF
QH05	CAIF
QH06	CAIF
QH07	CAIF
QH08	CAIF
QH10	CAIF
QH13	CAIF
QH14	CAIF
QH15	CAIF
QH16	CAIF
QH17	CAIF
QH20	CAIF
SD01	EAAF
SD02	EAAF
SD03	EAAF
SD04	EAAF
SD05	EAAF
SD06	EAAF
SD07	EAAF
SD08	EAAF
SD09	EAAF
SD10	EAAF
SD13	EAAF
SD14	EAAF
SD15	EAAF
SD16	EAAF
XZ01	CAIF
XZ02	CAIF
XZ04	CAIF
XZ05	CAIF
XZ06	CAIF
XZ07	CAIF
XZ08	CAIF
XZ09	CAIF
XZ10	CAIF
XZ11	CAIF
XZ12	CAIF
DRR279222	EAAF
DRR279219	EAAF
DRR279221	EAAF
DRR279220	EAAF
SRR22099858	EAAF
SRR3327411	CAIF
SRR3327343	CAIF
SRR21527946	AF
SRR21527948	AF
SRR21527944	AF
SRR21527945	AF
SRR21527956	AF
SRR21527943	AF
SRR21527947	AF
SRR21527967	AF
SRR21527968	AF
DRR173096	CAIF
DRR173097	CAIF
DRR173098	CAIF
DRR173099	CAIF
DRR173100	CAIF
DRR173101	CAIF
SRR19660474	EAAF
SRR19660473	EAAF
SRR19660472	EAAF
SRR19660471	EAAF
SRR19660470	EAAF
SRR19660469	EAAF
SRR19660468	EAAF
SRR19660467	EAAF
