sample	group
SRR10874871	Migratory birds
SRR10874015	Migratory birds
SRR10873993	Migratory birds
SRR10873763	Migratory birds
SRR10874069	Migratory birds
SRR10874909	Migratory birds
SRR10873473	Migratory birds
SRR10873733	Migratory birds
SRR10873757	Migratory birds
SRR10873771	Migratory birds
SRR10874866	Migratory birds
SRR10874863	Migratory birds
SRR10874870	Migratory birds
SRR10873476	Migratory birds
SRR22099858	Migratory birds
SRR10874855	Migratory birds
SRR10874852	Migratory birds
SRR10873992	Migratory birds
SRR10873474	Migratory birds
SRR10874819	Migratory birds
SRR10881939	Migratory birds
SRR10873776	Migratory birds
SRR10873766	Migratory birds
SRR10873760	Migratory birds
SRR10873745	Migratory birds
SRR10873752	Migratory birds
SRR10873829	Migratory birds
SRR10874827	Migratory birds
SRR10874825	Migratory birds
SRR10875071	Migratory birds
SRR10875068	Migratory birds
SRR10874916	Migratory birds
SRR10874878	Migratory birds
SRR10875093	Migratory birds
SRR10875095	Migratory birds
SRR10874851	Migratory birds
SRR10874854	Migratory birds
SRR10874868	Migratory birds
SRR10874872	Migratory birds
SRR10873759	Migratory birds
SRR10873770	Migratory birds
SRR10874917	Migratory birds
SRR10874896	Migratory birds
SRR10875082	Migratory birds
SRR10874050	Migratory birds
SRR10873876	Migratory birds
SRR10873765	Migratory birds
SRR9850918	Migratory birds
SRR9850919	Migratory birds
SRR9850920	Migratory birds
SRR9850921	Migratory birds
SRR9850939	Migratory birds
SRR9850974	Migratory birds
SRR9850976	Migratory birds
SRR9850977	Migratory birds
SRR9850978	Migratory birds
SRR9850979	Migratory birds
SRR9850980	Migratory birds
SRR9850981	Migratory birds
SRR9850982	Migratory birds
SRR9850983	Migratory birds
SRR9850984	Migratory birds
SRR9850932	Migratory birds
SRR9850933	Migratory birds
SRR9850934	Migratory birds
SRR9850935	Migratory birds
SRR9850936	Migratory birds
SRR9850937	Migratory birds
SRR9850938	Migratory birds
SRR9850940	Migratory birds
SRR9850941	Migratory birds
SRR9850943	Migratory birds
SRR9850967	Migratory birds
SRR9850968	Migratory birds
SRR9850969	Migratory birds
SRR9850970	Migratory birds
SRR9850971	Migratory birds
SRR9850972	Migratory birds
SRR9850973	Migratory birds
SRR9850975	Migratory birds
SRR9850988	Migratory birds
SRR9850989	Migratory birds
SRR9850990	Migratory birds
SRR9850991	Migratory birds
SRR9850992	Migratory birds
SRR9850993	Migratory birds
SRR19660474	Migratory birds
SRR19660473	Migratory birds
SRR19660472	Migratory birds
SRR19660471	Migratory birds
SRR19660470	Migratory birds
SRR19660469	Migratory birds
SRR19660468	Migratory birds
SRR19660467	Migratory birds
SRR10492800	Migratory birds
SRR10492799	Migratory birds
SRR10492798	Migratory birds
SRR10492797	Migratory birds
SRR3327572	Migratory birds
SRR3327573	Migratory birds
SRR3327411	Migratory birds
SRR3327343	Migratory birds
SRR9850912	Migratory birds
SRR9850913	Migratory birds
SRR9850914	Migratory birds
SRR9850915	Migratory birds
SRR9850916	Migratory birds
SRR9850917	Migratory birds
SRR9850926	Migratory birds
SRR9850927	Migratory birds
SRR9850929	Migratory birds
SRR9850930	Migratory birds
SRR9850931	Migratory birds
SRR9850903	Migratory birds
SRR9850904	Migratory birds
SRR9850905	Migratory birds
SRR9850906	Migratory birds
SRR9850907	Migratory birds
SRR9850908	Migratory birds
SRR9850909	Migratory birds
SRR9850910	Migratory birds
SRR9850911	Migratory birds
SRR9850948	Migratory birds
SRR9850949	Migratory birds
SRR9850950	Migratory birds
SRR9850902	Migratory birds
AH02	Migratory birds
AH03	Migratory birds
AH04	Migratory birds
AH05	Migratory birds
AH07	Migratory birds
AH09	Migratory birds
AH10	Migratory birds
AH11	Migratory birds
AH12	Migratory birds
AH13	Migratory birds
SRR25662272	Migratory birds
CRR028392	Migratory birds
CRR028393	Migratory birds
CRR028394	Migratory birds
CRR028395	Migratory birds
CRR028396	Migratory birds
CRR028397	Migratory birds
QH01	Migratory birds
QH02	Migratory birds
QH03	Migratory birds
QH04	Migratory birds
QH05	Migratory birds
QH06	Migratory birds
QH07	Migratory birds
QH08	Migratory birds
QH10	Migratory birds
QH13	Migratory birds
QH14	Migratory birds
QH15	Migratory birds
QH16	Migratory birds
QH17	Migratory birds
QH20	Migratory birds
SRR27471755	Migratory birds
SD01	Migratory birds
SD02	Migratory birds
SD03	Migratory birds
SD04	Migratory birds
SD05	Migratory birds
SD06	Migratory birds
SD07	Migratory birds
SD08	Migratory birds
SD09	Migratory birds
SD10	Migratory birds
SD13	Migratory birds
SD14	Migratory birds
SD15	Migratory birds
SD16	Migratory birds
CRR355451	Migratory birds
CRR355452	Migratory birds
CRR355453	Migratory birds
XZ01	Migratory birds
XZ02	Migratory birds
XZ04	Migratory birds
XZ05	Migratory birds
XZ06	Migratory birds
XZ07	Migratory birds
XZ08	Migratory birds
XZ09	Migratory birds
XZ10	Migratory birds
XZ11	Migratory birds
XZ12	Migratory birds
SRR10873775	Migratory birds
SRR21898906	Migratory birds
SRR21898907	Migratory birds
SRR21898908	Migratory birds
SRR21898909	Migratory birds
SRR21898910	Migratory birds
SRR21898911	Migratory birds
SRR21898912	Migratory birds
SRR21898920	Migratory birds
SRR21898921	Migratory birds
SRR21898922	Migratory birds
SRR21898923	Migratory birds
SRR21898924	Migratory birds
SRR21898925	Migratory birds
SRR21898926	Migratory birds
SRR21898927	Migratory birds
SRR21898928	Migratory birds
SRR21898929	Migratory birds
SRR21898930	Migratory birds
SRR21898931	Migratory birds
SRR21898932	Migratory birds
SRR21898933	Migratory birds
SRR10874390	Migratory birds
SRR10875204	Migratory birds
SRR10875205	Migratory birds
SRR10874850	Migratory birds
SRR10875337	Migratory birds
SRR10873907	Migratory birds
SRR10874021	Migratory birds
SRR10874019	Migratory birds
SRR10874853	Migratory birds
SRR10873950	Migratory birds
SRR10875473	Migratory birds
SRR10875768	Migratory birds
SRR10874867	Migratory birds
SRR10873732	Migratory birds
SRR10874380	Migratory birds
SRR10874864	Migratory birds
SRR10874865	Migratory birds
SRR10874918	Migratory birds
SRR10875070	Migratory birds
SRR10873447	Migratory birds
SRR10873446	Migratory birds
SRR10874717	Migratory birds
SRR10874791	Migratory birds
SRR10873923	Migratory birds
SRR10874399	Migratory birds
SRR10873475	Migratory birds
SRR10874841	Migratory birds
SRR10873881	Migratory birds
SRR10873887	Migratory birds
SRR10873895	Migratory birds
SRR10873920	Migratory birds
SRR10873738	Migratory birds
SRR10873751	Migratory birds
SRR10873756	Migratory birds
SRR10873764	Migratory birds
SRR10873767	Migratory birds
SRR10873769	Migratory birds
SRR10873811	Migratory birds
SRR10873863	Migratory birds
SRR10873888	Migratory birds
SRR10873911	Migratory birds
SRR10873913	Migratory birds
SRR10873924	Migratory birds
SRR10882830	Migratory birds
SRR10882828	Migratory birds
SRR10882820	Migratory birds
SRR10882650	Migratory birds
SRR10882647	Migratory birds
SRR10882646	Migratory birds
SRR10882641	Migratory birds
SRR10882604	Migratory birds
SRR10875352	Migratory birds
SRR10874919	Migratory birds
SRR10874838	Migratory birds
SRR10874832	Migratory birds
SRR10874828	Migratory birds
SRR10874869	Migratory birds
SRR10874837	Migratory birds
SRR10875096	Migratory birds
SRR10875097	Migratory birds
SRR10874831	Migratory birds
SRR10874836	Migratory birds
SRR10874840	Migratory birds
SRR10874849	Migratory birds
SRR10874024	Migratory birds
SRR10874026	Migratory birds
SRR10873997	Migratory birds
SRR10873975	Migratory birds
SRR10873964	Migratory birds
SRR10873956	Migratory birds
SRR10873952	Migratory birds
SRR10882847	Migratory birds
SRR10874813	Migratory birds
SRR10874842	Migratory birds
SRR10874862	Migratory birds
SRR10874895	Migratory birds
SRR10875353	Migratory birds
SRR10873810	Migratory birds
SRR10873780	Migratory birds
SRR10873974	Migratory birds
SRR10873977	Migratory birds
SRR10873981	Migratory birds
SRR10873995	Migratory birds
SRR10873998	Migratory birds
SRR10873761	Migratory birds
SRR10874030	Migratory birds
DRR279222	Migratory birds
DRR279219	Migratory birds
DRR279221	Migratory birds
DRR279220	Migratory birds
DRR173096	Migratory birds
DRR173097	Migratory birds
DRR173098	Migratory birds
DRR173099	Migratory birds
DRR173100	Migratory birds
DRR173101	Migratory birds
SRR5886139	Resident birds
SRR5886137	Resident birds
SRR5886138	Resident birds
SRR10873875	Resident birds
SRR10874287	Resident birds
SRR10874288	Resident birds
SRR10874289	Resident birds
SRR10873470	Resident birds
SRR10873731	Resident birds
SRR10873928	Resident birds
CRR914878	Resident birds
CRR914879	Resident birds
CRR914880	Resident birds
CRR914881	Resident birds
CRR914882	Resident birds
CRR914883	Resident birds
CRR914884	Resident birds
CRR914885	Resident birds
CRR1273915	Resident birds
CRR1273916	Resident birds
CRR1273917	Resident birds
CRR1273918	Resident birds
CRR1273919	Resident birds
CRR1273920	Resident birds
CRR1274818	Resident birds
CRR1274819	Resident birds
CRR1274820	Resident birds
CRR1274821	Resident birds
CRR1274822	Resident birds
CRR1274823	Resident birds
CRR1274824	Resident birds
CRR1274825	Resident birds
CRR1274826	Resident birds
CRR1274827	Resident birds
CRR1274828	Resident birds
CRR1274829	Resident birds
CRR1287467	Resident birds
CRR1287468	Resident birds
CRR1287469	Resident birds
CRR1287470	Resident birds
CRR1287471	Resident birds
CRR1287472	Resident birds
CRR1287473	Resident birds
CRR1287474	Resident birds
CRR1287475	Resident birds
CRR1287476	Resident birds
CRR1287477	Resident birds
CRR1293703	Resident birds
CRR1293704	Resident birds
CRR1293705	Resident birds
CRR1293706	Resident birds
CRR1293707	Resident birds
CRR1274799	Resident birds
CRR1274800	Resident birds
CRR1274801	Resident birds
CRR1274802	Resident birds
CRR1274803	Resident birds
CRR1274804	Resident birds
CRR1274805	Resident birds
CRR1274806	Resident birds
CRR1274807	Resident birds
CRR1274808	Resident birds
CRR1274809	Resident birds
CRR1274810	Resident birds
CRR1274811	Resident birds
CRR1274812	Resident birds
CRR1274813	Resident birds
CRR1274814	Resident birds
CRR1274815	Resident birds
CRR1274816	Resident birds
CRR1274817	Resident birds
SRR10874395	Resident birds
SRR10874396	Resident birds
SRR10874028	Resident birds
SRR10875081	Resident birds
SRR21898913	Resident birds
SRR21898914	Resident birds
SRR21898915	Resident birds
SRR21898916	Resident birds
SRR21898917	Resident birds
SRR21898918	Resident birds
SRR21898919	Resident birds
SRR10873444	Resident birds
SRR10874053	Resident birds
SRR10875136	Resident birds
SRR10875305	Resident birds
SRR10875094	Resident birds
SRR10875080	Resident birds
SRR10873904	Resident birds
SRR10873916	Resident birds
SRR10874070	Resident birds
SRR10874718	Resident birds
SRR10874810	Resident birds
SRR10874829	Resident birds
SRR10874833	Resident birds
SRR10874830	Resident birds
SRR10873966	Resident birds
SRR10873736	Resident birds
SRR10873729	Resident birds
SRR10874815	Resident birds
SRR10874818	Resident birds
SRR10874397	Resident birds
SRR10873878	Resident birds
SRR10874058	Resident birds
SRR10874059	Resident birds
SRR10873954	Resident birds
SRR5431712	Resident birds
SRR5431713	Resident birds
SRR5431714	Resident birds
SRR5431715	Resident birds
SRR5431716	Resident birds
SRR5431717	Resident birds
ERR11205105	Resident birds
SRR7039258	Resident birds
SRR7039257	Resident birds
SRR7039256	Resident birds
SRR7039255	Resident birds
SRR7039262	Resident birds
SRR7039263	Resident birds
SRR7039260	Resident birds
SRR7039259	Resident birds
SRR7039261	Resident birds
ERR11205103	Resident birds
ERR11205108	Resident birds
ERR11205109	Resident birds
ERR11205104	Resident birds
ERR11205106	Resident birds
ERR11205107	Resident birds
SRR13307418	Resident birds
SRR13307419	Resident birds
SRR13307420	Resident birds
SRR13307421	Resident birds
SRR13307422	Resident birds
SRR13307423	Resident birds
SRR13307424	Resident birds
SRR13307425	Resident birds
SRR13307426	Resident birds
SRR13307427	Resident birds
SRR13307428	Resident birds
SRR13307429	Resident birds
SRR13307430	Resident birds
SRR13307431	Resident birds
SRR13307432	Resident birds
SRR13307433	Resident birds
SRR13307434	Resident birds
SRR13307435	Resident birds
SRR13307436	Resident birds
SRR13307437	Resident birds
SRR13307438	Resident birds
SRR13307439	Resident birds
SRR13307440	Resident birds
SRR13307441	Resident birds
SRR13307442	Resident birds
SRR13307443	Resident birds
SRR13307444	Resident birds
SRR13307445	Resident birds
SRR13307446	Resident birds
SRR13307447	Resident birds
SRR13307448	Resident birds
SRR13307449	Resident birds
SRR13307450	Resident birds
SRR13307451	Resident birds
SRR13307452	Resident birds
SRR13307453	Resident birds
SRR13307454	Resident birds
SRR13307455	Resident birds
SRR13307456	Resident birds
SRR13307457	Resident birds
SRR13307458	Resident birds
SRR13307459	Resident birds
SRR13307460	Resident birds
SRR13307461	Resident birds
SRR13307462	Resident birds
SRR13307463	Resident birds
SRR13307464	Resident birds
SRR13307465	Resident birds
SRR13307466	Resident birds
SRR13307467	Resident birds
SRR13307468	Resident birds
SRR13307469	Resident birds
SRR13307470	Resident birds
SRR13307471	Resident birds
SRR13307472	Resident birds
SRR13307473	Resident birds
SRR13307474	Resident birds
SRR13307475	Resident birds
SRR13307476	Resident birds
SRR13307477	Resident birds
SRR13307478	Resident birds
SRR13307479	Resident birds
SRR13307480	Resident birds
SRR13307481	Resident birds
SRR13307482	Resident birds
SRR13307483	Resident birds
SRR13307484	Resident birds
SRR13307485	Resident birds
SRR13307486	Resident birds
SRR13307487	Resident birds
SRR13307488	Resident birds
SRR13307489	Resident birds
SRR13307490	Resident birds
SRR13307491	Resident birds
SRR13307492	Resident birds
SRR13307493	Resident birds
SRR13307494	Resident birds
SRR13307495	Resident birds
SRR13307496	Resident birds
SRR13307497	Resident birds
SRR13307498	Resident birds
SRR13307499	Resident birds
SRR13307500	Resident birds
SRR13307501	Resident birds
SRR13307502	Resident birds
SRR13307503	Resident birds
SRR13307504	Resident birds
SRR13307505	Resident birds
SRR13307506	Resident birds
SRR13307507	Resident birds
SRR13307508	Resident birds
SRR13307509	Resident birds
SRR13307510	Resident birds
SRR13307511	Resident birds
SRR13307512	Resident birds
SRR13307513	Resident birds
