sample	group
SRR9850918	Cygnus cygnus
SRR9850919	Cygnus cygnus
SRR9850920	Cygnus cygnus
SRR9850921	Cygnus cygnus
SRR9850939	Cygnus cygnus
SRR9850974	Cygnus cygnus
SRR9850976	Cygnus cygnus
SRR9850977	Cygnus cygnus
SRR9850978	Cygnus cygnus
SRR9850979	Cygnus cygnus
SRR9850980	Cygnus cygnus
SRR9850981	Cygnus cygnus
SRR9850982	Cygnus cygnus
SRR9850983	Cygnus cygnus
SRR9850984	Cygnus cygnus
SRR9850932	Tadorna tadorna
SRR9850933	Tadorna tadorna
SRR9850934	Tadorna tadorna
SRR9850935	Tadorna tadorna
SRR9850936	Tadorna tadorna
SRR9850937	Tadorna tadorna
SRR9850938	Tadorna tadorna
SRR9850940	Tadorna tadorna
SRR9850941	Tadorna tadorna
SRR9850943	Tadorna tadorna
SRR9850967	Anser cygnoides
SRR9850968	Anser cygnoides
SRR9850969	Anser cygnoides
SRR9850970	Anser cygnoides
SRR9850971	Anser cygnoides
SRR9850972	Anser cygnoides
SRR9850973	Anser cygnoides
SRR9850975	Anser cygnoides
SRR9850988	Anser cygnoides
SRR9850989	Anser cygnoides
SRR9850990	Anser cygnoides
SRR9850991	Anser cygnoides
SRR9850992	Anser cygnoides
SRR9850993	Anser cygnoides
SRR9850912	Anser fabalis
SRR9850913	Anser fabalis
SRR9850914	Anser fabalis
SRR9850915	Anser fabalis
SRR9850916	Anser fabalis
SRR9850917	Anser fabalis
SRR9850926	Anser fabalis
SRR9850927	Anser fabalis
SRR9850929	Anser fabalis
SRR9850930	Anser fabalis
SRR9850931	Anser fabalis
SRR9850903	Anser indicus
SRR9850904	Anser indicus
SRR9850905	Anser indicus
SRR9850906	Anser indicus
SRR9850907	Anser indicus
SRR9850908	Anser indicus
SRR9850909	Anser indicus
SRR9850910	Anser indicus
SRR9850911	Anser indicus
SRR9850948	Anser indicus
SRR9850949	Anser indicus
SRR9850950	Anser indicus
SRR9850902	Anser indicus
SRR21898906	Cygnus cygnus
SRR21898907	Cygnus cygnus
SRR21898908	Cygnus cygnus
SRR21898909	Cygnus cygnus
SRR21898910	Cygnus cygnus
SRR21898911	Cygnus cygnus
SRR21898912	Cygnus cygnus
SRR21898913	Cygnus atratus
SRR21898914	Cygnus atratus
SRR21898915	Cygnus atratus
SRR21898916	Cygnus atratus
SRR21898917	Cygnus atratus
SRR21898918	Cygnus atratus
SRR21898919	Cygnus atratus
SRR21898920	Cygnus cygnus
SRR21898921	Cygnus cygnus
SRR21898922	Cygnus cygnus
SRR21898923	Cygnus cygnus
SRR21898924	Cygnus cygnus
SRR21898925	Cygnus cygnus
SRR21898926	Cygnus cygnus
SRR21898927	Cygnus cygnus
SRR21898928	Cygnus cygnus
SRR21898929	Cygnus cygnus
SRR21898930	Cygnus cygnus
SRR21898931	Cygnus cygnus
SRR21898932	Cygnus cygnus
SRR21898933	Cygnus cygnus
SRR10874028	Cygnus atratus
SRR10873738	Anser indicus
SRR10873751	Anser indicus
SRR10873756	Anser indicus
SRR10873764	Anser indicus
SRR10873767	Anser indicus
SRR10873769	Anser indicus
SRR10873811	Anser albifrons
SRR10873863	Anser albifrons
SRR10873888	Anser albifrons
SRR10873911	Anser albifrons
SRR10873913	Anser albifrons
SRR10873924	Anser albifrons
SRR10882830	Anser albifrons
SRR10882828	Anser albifrons
SRR10882820	Anser albifrons
SRR10882650	Anser albifrons
SRR10882647	Anser albifrons
SRR10882646	Anser albifrons
SRR10882641	Anser albifrons
SRR10882604	Anser albifrons
SRR10875352	Anser albifrons
SRR10874919	Anser albifrons
SRR10874838	Anser albifrons
SRR10874832	Anser albifrons
SRR10874828	Anser albifrons
SRR10874015	Emberiza spodocephala
SRR10873993	Emberiza spodocephala
SRR10874021	Emberiza spodocephala
SRR10874019	Emberiza spodocephala
SRR10873997	Emberiza spodocephala
SRR10873975	Emberiza spodocephala
SRR10873964	Emberiza spodocephala
SRR10873956	Emberiza spodocephala
SRR10873952	Emberiza spodocephala
SRR10882847	Emberiza spodocephala
SRR10874909	Tarsiger cyanurus
SRR10873473	Tarsiger cyanurus
SRR10873733	Tarsiger cyanurus
SRR10873757	Tarsiger cyanurus
SRR10874864	Tarsiger cyanurus
SRR10874865	Tarsiger cyanurus
SRR10874918	Tarsiger cyanurus
SRR10875070	Tarsiger cyanurus
SRR10492800	Anser indicus
SRR10492799	Anser indicus
SRR3327572	Anser indicus
SRR3327573	Anser indicus
CRR914878	Gyps himalayensis
CRR914879	Gyps himalayensis
CRR914880	Gyps himalayensis
CRR914881	Gyps himalayensis
CRR914882	Gyps himalayensis
CRR914883	Gyps himalayensis
CRR914884	Gyps himalayensis
CRR914885	Gyps himalayensis
AH02	Anser fabalis
AH03	Anser fabalis
AH04	Anser fabalis
AH05	Anser fabalis
AH07	Anser fabalis
AH09	Anser fabalis
AH10	Anser fabalis
AH11	Anser fabalis
AH12	Anser fabalis
AH13	Anser fabalis
QH01	Anser indicus
QH02	Anser indicus
QH03	Anser indicus
QH04	Anser indicus
QH05	Anser indicus
QH06	Anser indicus
QH07	Anser indicus
QH08	Anser indicus
QH10	Anser indicus
QH13	Anser indicus
QH14	Anser indicus
QH15	Anser indicus
QH16	Anser indicus
QH17	Anser indicus
QH20	Anser indicus
SD01	Cygnus cygnus
SD02	Cygnus cygnus
SD03	Cygnus cygnus
SD04	Cygnus cygnus
SD05	Cygnus cygnus
SD06	Cygnus cygnus
SD07	Cygnus cygnus
SD08	Cygnus cygnus
SD09	Cygnus cygnus
SD10	Cygnus cygnus
SD13	Cygnus cygnus
SD14	Cygnus cygnus
SD15	Cygnus cygnus
SD16	Cygnus cygnus
XZ01	Anser indicus
XZ02	Anser indicus
XZ04	Anser indicus
XZ05	Anser indicus
XZ06	Anser indicus
XZ07	Anser indicus
XZ08	Anser indicus
XZ09	Anser indicus
XZ10	Anser indicus
XZ11	Anser indicus
XZ12	Anser indicus
SRR3327411	Anser indicus
SRR3327343	Anser indicus
SRR21527946	Branta canadensis
SRR21527948	Branta canadensis
SRR21527944	Branta canadensis
SRR21527945	Branta canadensis
SRR21527956	Branta canadensis
SRR21527943	Branta canadensis
SRR21527947	Branta canadensis
SRR21527967	Branta canadensis
SRR21527968	Branta canadensis
CRR1274818	Corvus dauuricus
CRR1274819	Corvus dauuricus
CRR1274820	Corvus dauuricus
CRR1274821	Corvus dauuricus
CRR1274822	Corvus dauuricus
CRR1274823	Corvus dauuricus
CRR1274824	Corvus dauuricus
CRR1274825	Corvus dauuricus
CRR1274826	Corvus dauuricus
CRR1274827	Corvus dauuricus
CRR1274828	Corvus dauuricus
CRR1274829	Corvus dauuricus
CRR1287467	Corvus frugilegus
CRR1287468	Corvus frugilegus
CRR1287469	Corvus frugilegus
CRR1287470	Corvus frugilegus
CRR1287471	Corvus frugilegus
CRR1287472	Corvus frugilegus
CRR1287473	Corvus frugilegus
CRR1287474	Corvus frugilegus
CRR1287475	Corvus frugilegus
CRR1287476	Corvus frugilegus
CRR1287477	Corvus frugilegus
SRR7039258	Lagopus muta
SRR7039257	Lagopus muta
SRR7039256	Lagopus muta
SRR7039255	Lagopus muta
SRR7039262	Lagopus muta
SRR7039263	Lagopus muta
SRR7039260	Lagopus muta
SRR7039259	Lagopus muta
SRR7039261	Lagopus muta
SRR19660474	Larus ridibundus
SRR19660473	Larus ridibundus
SRR19660472	Larus ridibundus
SRR19660471	Larus ridibundus
SRR19660470	Larus ridibundus
SRR19660469	Larus ridibundus
SRR19660468	Larus ridibundus
SRR19660467	Larus ridibundus
CRR1274799	Pyrrhocorax pyrrhocorax
CRR1274800	Pyrrhocorax pyrrhocorax
CRR1274801	Pyrrhocorax pyrrhocorax
CRR1274802	Pyrrhocorax pyrrhocorax
CRR1274803	Pyrrhocorax pyrrhocorax
CRR1274804	Pyrrhocorax pyrrhocorax
CRR1274805	Pyrrhocorax pyrrhocorax
CRR1274806	Pyrrhocorax pyrrhocorax
CRR1274807	Pyrrhocorax pyrrhocorax
