sample	group
CRR914878	22-23
CRR914879	22-23
CRR914880	22-23
CRR914881	22-23
CRR914882	22-23
CRR914883	22-23
CRR914884	22-23
CRR914885	22-23
AH02	22-23
AH03	22-23
AH04	22-23
AH05	22-23
AH07	22-23
AH09	22-23
AH10	22-23
AH11	22-23
AH12	22-23
AH13	22-23
QH01	22-23
QH02	22-23
QH03	22-23
QH04	22-23
QH05	22-23
QH06	22-23
QH07	22-23
QH08	22-23
QH10	22-23
QH13	22-23
QH14	22-23
QH15	22-23
QH16	22-23
QH17	22-23
QH20	22-23
SD01	22-23
SD02	22-23
SD03	22-23
SD04	22-23
SD05	22-23
SD06	22-23
SD07	22-23
SD08	22-23
SD09	22-23
SD10	22-23
SD13	22-23
SD14	22-23
SD15	22-23
SD16	22-23
XZ01	22-23
XZ02	22-23
XZ04	22-23
XZ05	22-23
XZ06	22-23
XZ07	22-23
XZ08	22-23
XZ09	22-23
XZ10	22-23
XZ11	22-23
XZ12	22-23
SRR19660474	22-23
SRR19660473	22-23
SRR19660472	22-23
SRR19660471	22-23
SRR19660470	22-23
SRR19660469	22-23
SRR19660468	22-23
SRR19660467	22-23
CRR1273915	22-23
CRR1273916	22-23
CRR1273917	22-23
CRR1273918	22-23
CRR1273919	22-23
CRR1273920	22-23
CRR1274818	22-23
CRR1274819	22-23
CRR1274820	22-23
CRR1274821	22-23
CRR1274822	22-23
CRR1274823	22-23
CRR1274824	22-23
CRR1274825	22-23
CRR1274826	22-23
CRR1274827	22-23
CRR1274828	22-23
CRR1274829	22-23
CRR1287467	22-23
CRR1287468	22-23
CRR1287469	22-23
CRR1287470	22-23
CRR1287471	22-23
CRR1287472	22-23
CRR1287473	22-23
CRR1287474	22-23
CRR1287475	22-23
CRR1287476	22-23
CRR1287477	22-23
CRR1293703	22-23
CRR1293704	22-23
CRR1293705	22-23
CRR1293706	22-23
CRR1293707	22-23
CRR1274799	22-23
CRR1274800	22-23
CRR1274801	22-23
CRR1274802	22-23
CRR1274803	22-23
CRR1274804	22-23
CRR1274805	22-23
CRR1274806	22-23
CRR1274807	22-23
CRR1274808	22-23
CRR1274809	22-23
CRR1274810	22-23
CRR1274811	22-23
CRR1274812	22-23
CRR1274813	22-23
CRR1274814	22-23
CRR1274815	22-23
CRR1274816	22-23
CRR1274817	22-23
SRR21898906	20-21
SRR21898907	20-21
SRR21898908	20-21
SRR21898909	20-21
SRR21898910	20-21
SRR25662272	20-21
SRR10492800	20-21
SRR10492799	20-21
SRR10492798	20-21
SRR10492797	20-21
SRR27471755	20-21
SRR21898913	20-21
SRR21898914	20-21
SRR21898915	20-21
SRR21898916	20-21
SRR21898917	20-21
SRR21898918	20-21
SRR21898919	20-21
SRR21898920	20-21
SRR21898922	20-21
SRR21898923	20-21
SRR21898924	20-21
SRR21898925	20-21
SRR21898926	20-21
SRR21898927	20-21
SRR21898928	20-21
SRR21898929	20-21
SRR21898930	20-21
SRR21898931	20-21
SRR22099858	20-21
SRR21527946	18-19
SRR21527948	18-19
SRR21527944	18-19
SRR21527945	18-19
SRR21527956	18-19
SRR21527943	18-19
SRR21527947	18-19
SRR21527967	18-19
SRR21527968	18-19
ERR11205103	18-19
ERR11205104	18-19
ERR11205105	18-19
ERR11205106	18-19
ERR11205107	18-19
ERR11205108	18-19
ERR11205109	18-19
SRR21898911	18-19
SRR21898912	18-19
SRR21898921	18-19
SRR21898932	18-19
SRR21898933	18-19
CRR355451	18-19
CRR355452	18-19
CRR355453	18-19
SRR10874390	18-19
SRR10874028	18-19
SRR10873738	18-19
SRR10873751	18-19
SRR10873756	18-19
SRR10873764	18-19
SRR10873767	18-19
SRR10873769	18-19
SRR10873811	18-19
